,order_id,purchase_item_id,external_inventory_policy,external_product_id,external_variant_id,grams,handle,images,original_price,properties,purchase_item_type,quantity,sku,tax_due,tax_lines,taxable,taxable_amount,title,total_price,unit_price,unit_price_includes_tax,variant_title,COGS
991,497006123,336044299,decrement_obeying_policy,{'ecommerce': '7952771842277'},{'ecommerce': '43285262401765'},,,"{'large': 'https://cdn.shopify.com/s/files/1/0656/6798/9733/products/photoboxgif_a467b685-6ac7-403e-8e8d-5d3cab7fafe0_large.gif?v=1659993766_large', 'medium': 'https://cdn.shopify.com/s/files/1/0656/6798/9733/products/photoboxgif_a467b685-6ac7-403e-8e8d-5d3cab7fafe0_large.gif?v=1659993766_medium', 'original': 'https://cdn.shopify.com/s/files/1/0656/6798/9733/products/photoboxgif_a467b685-6ac7-403e-8e8d-5d3cab7fafe0_large.gif?v=1659993766', 'small': 'https://cdn.shopify.com/s/files/1/0656/6798/9733/products/photoboxgif_a467b685-6ac7-403e-8e8d-5d3cab7fafe0_large.gif?v=1659993766_small'}",195.00,[],subscription,1,quantify_mens_health_kit_tier_I,0.00,[],False,0.00,Yearly Subscription,195.0,195.00,False,,80
992,497001784,336030390,decrement_obeying_policy,{'ecommerce': '7954009653477'},{'ecommerce': '43288411013349'},,,"{'large': 'https://cdn.shopify.com/s/files/1/0656/6798/9733/products/photoboxgif_large.gif?v=1660058125_large', 'medium': 'https://cdn.shopify.com/s/files/1/0656/6798/9733/products/photoboxgif_large.gif?v=1660058125_medium', 'original': 'https://cdn.shopify.com/s/files/1/0656/6798/9733/products/photoboxgif_large.gif?v=1660058125', 'small': 'https://cdn.shopify.com/s/files/1/0656/6798/9733/products/photoboxgif_large.gif?v=1660058125_small'}",165.00,[],subscription,1,quantify_mens_health_kit_tier_II,0.00,[],False,0.00,Quarterly Membership,165.0,165.00,False,,80
993,496999644,336022570,decrement_obeying_policy,{'ecommerce': '7965783949541'},{'ecommerce': '43317499592933'},,,"{'large': 'https://cdn.shopify.com/s/files/1/0656/6798/9733/products/photoboxgif_ebe6d2f6-7dc1-4be3-aa63-5dd12cbb010f_large.gif?v=1660764323_large', 'medium': 'https://cdn.shopify.com/s/files/1/0656/6798/9733/products/photoboxgif_ebe6d2f6-7dc1-4be3-aa63-5dd12cbb010f_large.gif?v=1660764323_medium', 'original': 'https://cdn.shopify.com/s/files/1/0656/6798/9733/products/photoboxgif_ebe6d2f6-7dc1-4be3-aa63-5dd12cbb010f_large.gif?v=1660764323', 'small': 'https://cdn.shopify.com/s/files/1/0656/6798/9733/products/photoboxgif_ebe6d2f6-7dc1-4be3-aa63-5dd12cbb010f_large.gif?v=1660764323_small'}",95.00,[],subscription,1,quantify_mens_health_kit_tier_III,0.00,[],False,0.00,Monthly Membership,95.0,95.00,False,,80
994,496987715,335990808,decrement_obeying_policy,{'ecommerce': '7954009653477'},{'ecommerce': '43288411013349'},,,"{'large': 'https://cdn.shopify.com/s/files/1/0656/6798/9733/products/photoboxgif_large.gif?v=1660058125_large', 'medium': 'https://cdn.shopify.com/s/files/1/0656/6798/9733/products/photoboxgif_large.gif?v=1660058125_medium', 'original': 'https://cdn.shopify.com/s/files/1/0656/6798/9733/products/photoboxgif_large.gif?v=1660058125', 'small': 'https://cdn.shopify.com/s/files/1/0656/6798/9733/products/photoboxgif_large.gif?v=1660058125_small'}",165.00,[],subscription,1,quantify_mens_health_kit_tier_II,0.00,[],False,0.00,Quarterly Membership,165.0,165.00,False,,80
995,496981285,335970201,decrement_obeying_policy,{'ecommerce': '7954009653477'},{'ecommerce': '43288411013349'},,,"{'large': 'https://cdn.shopify.com/s/files/1/0656/6798/9733/products/photoboxgif_large.gif?v=1660058125_large', 'medium': 'https://cdn.shopify.com/s/files/1/0656/6798/9733/products/photoboxgif_large.gif?v=1660058125_medium', 'original': 'https://cdn.shopify.com/s/files/1/0656/6798/9733/products/photoboxgif_large.gif?v=1660058125', 'small': 'https://cdn.shopify.com/s/files/1/0656/6798/9733/products/photoboxgif_large.gif?v=1660058125_small'}",165.00,[],subscription,1,quantify_mens_health_kit_tier_II,0.00,[],False,0.00,Quarterly Membership,165.0,165.00,False,,80
996,496949233,335946033,decrement_obeying_policy,{'ecommerce': '7965783949541'},{'ecommerce': '43317499592933'},,,"{'large': 'https://cdn.shopify.com/s/files/1/0656/6798/9733/products/photoboxgif_ebe6d2f6-7dc1-4be3-aa63-5dd12cbb010f_large.gif?v=1660764323_large', 'medium': 'https://cdn.shopify.com/s/files/1/0656/6798/9733/products/photoboxgif_ebe6d2f6-7dc1-4be3-aa63-5dd12cbb010f_large.gif?v=1660764323_medium', 'original': 'https://cdn.shopify.com/s/files/1/0656/6798/9733/products/photoboxgif_ebe6d2f6-7dc1-4be3-aa63-5dd12cbb010f_large.gif?v=1660764323', 'small': 'https://cdn.shopify.com/s/files/1/0656/6798/9733/products/photoboxgif_ebe6d2f6-7dc1-4be3-aa63-5dd12cbb010f_large.gif?v=1660764323_small'}",95.00,[],subscription,1,quantify_mens_health_kit_tier_III,0.00,[],False,0.00,Monthly Membership,95.0,95.00,False,,80
997,496945917,335937578,decrement_obeying_policy,{'ecommerce': '7952771842277'},{'ecommerce': '43285262401765'},,,"{'large': 'https://cdn.shopify.com/s/files/1/0656/6798/9733/products/photoboxgif_a467b685-6ac7-403e-8e8d-5d3cab7fafe0_large.gif?v=1659993766_large', 'medium': 'https://cdn.shopify.com/s/files/1/0656/6798/9733/products/photoboxgif_a467b685-6ac7-403e-8e8d-5d3cab7fafe0_large.gif?v=1659993766_medium', 'original': 'https://cdn.shopify.com/s/files/1/0656/6798/9733/products/photoboxgif_a467b685-6ac7-403e-8e8d-5d3cab7fafe0_large.gif?v=1659993766', 'small': 'https://cdn.shopify.com/s/files/1/0656/6798/9733/products/photoboxgif_a467b685-6ac7-403e-8e8d-5d3cab7fafe0_large.gif?v=1659993766_small'}",195.00,[],subscription,1,quantify_mens_health_kit_tier_I,0.00,[],False,0.00,Yearly Subscription,195.0,195.00,False,,80
998,496944438,335933943,decrement_obeying_policy,{'ecommerce': '7952771842277'},{'ecommerce': '43285262401765'},,,"{'large': 'https://cdn.shopify.com/s/files/1/0656/6798/9733/products/photoboxgif_a467b685-6ac7-403e-8e8d-5d3cab7fafe0_large.gif?v=1659993766_large', 'medium': 'https://cdn.shopify.com/s/files/1/0656/6798/9733/products/photoboxgif_a467b685-6ac7-403e-8e8d-5d3cab7fafe0_large.gif?v=1659993766_medium', 'original': 'https://cdn.shopify.com/s/files/1/0656/6798/9733/products/photoboxgif_a467b685-6ac7-403e-8e8d-5d3cab7fafe0_large.gif?v=1659993766', 'small': 'https://cdn.shopify.com/s/files/1/0656/6798/9733/products/photoboxgif_a467b685-6ac7-403e-8e8d-5d3cab7fafe0_large.gif?v=1659993766_small'}",195.00,[],subscription,1,quantify_mens_health_kit_tier_I,0.00,[],False,0.00,Yearly Subscription,195.0,195.00,False,,80
999,496941102,335925866,decrement_obeying_policy,{'ecommerce': '7954009653477'},{'ecommerce': '43288411013349'},,,"{'large': 'https://cdn.shopify.com/s/files/1/0656/6798/9733/products/photoboxgif_large.gif?v=1660058125_large', 'medium': 'https://cdn.shopify.com/s/files/1/0656/6798/9733/products/photoboxgif_large.gif?v=1660058125_medium', 'original': 'https://cdn.shopify.com/s/files/1/0656/6798/9733/products/photoboxgif_large.gif?v=1660058125', 'small': 'https://cdn.shopify.com/s/files/1/0656/6798/9733/products/photoboxgif_large.gif?v=1660058125_small'}",165.00,[],subscription,1,quantify_mens_health_kit_tier_II,0.00,[],False,0.00,Quarterly Membership,165.0,165.00,False,,80
1000,496929955,335899113,decrement_obeying_policy,{'ecommerce': '7954009653477'},{'ecommerce': '43288411013349'},,,"{'large': 'https://cdn.shopify.com/s/files/1/0656/6798/9733/products/photoboxgif_large.gif?v=1660058125_large', 'medium': 'https://cdn.shopify.com/s/files/1/0656/6798/9733/products/photoboxgif_large.gif?v=1660058125_medium', 'original': 'https://cdn.shopify.com/s/files/1/0656/6798/9733/products/photoboxgif_large.gif?v=1660058125', 'small': 'https://cdn.shopify.com/s/files/1/0656/6798/9733/products/photoboxgif_large.gif?v=1660058125_small'}",165.00,[],subscription,1,quantify_mens_health_kit_tier_II,0.00,[],False,0.00,Quarterly Membership,165.0,165.00,False,,80
